0,nngn,nnnl,nlgl,nggn,nnlg,nnng,nngn,ngnn,nlln,nnnn,lgnn,nnnl,nlnn,nnnl,nlln,nnnn,gnng,ngnn,lggn,nnnn,lngn,nnnn,nnll,ngnn,nnnl,nnln,glll,lnnn,nnnl,nnnn,lnng,nnln,nnnl,nlnn,gnng,gnng,nnnn,nlnn,nnnl,gngn,ngnn,gnnl,nnnl,lggn,ngnn,lgnn,nnnl,gngn,nngn,nnnn,nnnl,nlnn,ngnn,nnnl,gnnn,nnnn,nnnn,nnnl,nlnn,nnnl,lgnn,ngnn,lggn,ngln,lgln,nggg,nlnn,gnnl,nlll,nnnn,lnng,nnll,nnnl,gnnl,lgnn,ngln,nnng,nggg,nnnn,lgln,ggnl
1,ngnn,nngn,nngn,nggn,nlln,nlgl,nnlg,nnng,nnnl,nlnn,nlln,nnnl,ngnn,nnnn,nnnl,nlnn,gnng,nnll,ngnn,nlnn,lggn,ngnn,nnll,nnnl,nlln,gnng,nnnl,ngnn,nnnn,lgnn,nnnn,gnng,ngnn,nlnn,nnnl,glll,nnln,gnnn,nnnn,ngln,gnnl,nnnl,ngnn,lnnl,nnnn,nnnn,gnnn,ngln,nngn,nnnl,nnnl,lgnn,lggn,nnnn,gnnn,nnnl,lgnn,nnnn,nnnn,nnnl,nnnl,nlnn,ngnn,ggnn,nlll,nnnn,lgnn,lnng,nggg,ggnl,lgln,glnn,nnnl,lgnn,nnnl,nlnn,glnn,gnnl,nnnn,nlll,glng
2,nnnl,nnng,nnlg,nngn,nngn,nlln,ngnn,nggn,nlgl,lngn,nlln,nlnn,lggn,nnll,gnng,nlnn,gnng,ngnl,ngnn,lgnn,ngnn,ngnn,glll,nnnl,nnnn,lgnl,nnnl,ngnn,nlnn,lgnn,lngn,lgnl,nnnl,nlln,nngg,gnng,nngn,gnnn,ngln,nnnn,nnnn,nnnl,gnnn,lggn,nnnn,nnln,nnnl,gnnn,lgnn,ngnn,nlnn,gngn,nnnl,nngl,nnlg,nnnn,lgnn,ngln,nnnl,gnnl,nnnl,lnnl,ngnn,nnnl,lgln,nnnn,lgnn,nggg,gnnl,glnn,ggnl,nnng,nnnl,ggnl,gnnl,nnnl,glnn,nnnn,nggg,lnng,nlll
3,nggn,ngnn,nlgl,nnng,nnnl,nnlg,nngn,nlln,nngn,lggn,ngnn,nlnn,nnnn,nnnl,nnll,nnnl,gnng,glll,nnnn,nnnl,nnnl,lnng,gnng,ngnn,nnnn,nnln,nnll,ngnn,nlln,nnnl,ngnn,lgnl,nnnn,ngnn,nnll,nnln,nnnn,ngnn,nnnl,nnlg,nngl,nnnl,nlnn,gnnl,ngnn,nnnn,lgnn,nnnl,nnnn,nlnn,gnnl,nnnl,lggn,ngnn,gnnn,nnnn,gngn,nnnl,nnnl,nnnl,lgnn,ngnn,ngnn,nnnl,lgln,nggg,nlnn,gnnl,nnnl,nnnn,nnng,glnn,nlnn,glnn,gnnl,nnnn,nnng,nggg,lgnn,lnng,lgln
4,nnnl,nggn,nnng,nngn,nngn,nlgl,nnlg,nlln,ngnn,ngnn,nnnl,lngn,nlnn,nnll,nlnn,nnnn,nnnn,glll,lnng,nlnn,lgnn,ngnn,ngnl,nnnn,ngnn,nnnl,nnln,ngnn,nnnn,nnnn,lnng,gnng,nnll,nlnn,gnng,nnnl,lgnn,nnnl,nnnn,gnnn,ngnn,nnnn,nnnl,nlnn,lggn,gnnn,nlnn,gngn,nnlg,nnnn,nnnl,nnnl,ngnn,ngnn,nnnl,gnnn,lgnn,nngn,nnnn,nnnl,nlnn,nnnl,nnnn,ggnn,nlll,glnn,nnnl,lnng,nggg,ggnl,nnll,nnng,nnnl,nnnn,nnnl,lgnn,nlll,ggnl,gnnl,glnn,glng
5,nnnl,nngn,ngnn,nlln,nnlg,nnng,nngn,nlgl,nggn,nnnn,nnnn,lngn,lnnn,glll,nnnl,ngnn,nnnn,ngnl,lggn,nnnl,lnng,lngn,ngnn,gnng,nlnn,lgnl,nnll,ngnn,nnll,nnnn,ngnn,gnng,nnnl,nlln,nnln,nnnn,nnlg,nnnn,lgnn,ngln,ngnn,nnnl,nnnl,gnnl,nnnn,gnnn,nlnn,nngn,nnnn,nngl,nnnn,nnlg,ngnn,nnnn,lgnn,nngn,nnnn,nnnn,gnnl,nngl,nnnl,lggn,nlnn,nnnl,lgln,nnnn,ggnn,nlll,glnn,nggg,nnll,ggnl,nnnl,ggnl,glnn,nggg,lgln,nnnl,gnnl,nnng,nlll
6,ngnn,nnnl,nngn,nngn,nlgl,nnlg,nlln,nggn,nnng,lngn,nnnn,nlnn,ngnn,ngnn,nnnl,lnng,nnll,ngnl,ngnn,nnnn,lnng,nnnn,nnll,nnnn,nlnn,nnnl,ngnn,lnng,nnll,nlnn,lggn,gnng,nnnl,ngnn,ngnl,lgnl,nnln,gnnl,lgnn,ngln,nnnl,nnnn,nnnl,ngnn,nnnl,nnnn,nnnl,nngn,nnnl,nnnl,nnnl,lgnn,nlnn,gnnl,nngn,nlnn,gnnn,nnnn,nnnn,gnnn,nnlg,nnnn,nngl,nggg,lgln,glnn,nnnn,ggnl,lgnn,gnnl,nlll,lnng,nnnn,nnnn,lgnn,ngln,gnnl,nnnl,ggnl,lgln,glng
7,nnnl,ngnn,nlgl,nngn,nnlg,nggn,nngn,nlln,nnng,ngnn,nnnl,lggn,lnnn,ngnn,nlnn,lnng,nnln,ngnl,nnnn,nnnl,ngnn,lnng,nnnn,nnnl,lgnn,gnng,nnnl,ngnn,nnnn,nnnn,nlnn,nnll,nnnl,nnnl,glll,lgnl,gnnn,nnnn,nnlg,gngn,nnnn,gnnl,lgnn,ngnn,nngl,nnnl,nnnl,gnnn,nngn,ngnn,nlnn,nnnn,lggn,nnnn,gnnn,nnnn,nnnl,lgnn,nlnn,ngnn,nnlg,lnnl,nnnl,ggnn,nggg,lgnn,ngln,nlll,nnnn,lgln,ggnl,lnng,ngln,nnnl,nnnn,nnnl,ggnl,lgnn,gnnl,nnng,glng
8,nlln,nngn,nlgl,ngnn,nnlg,nnng,nngn,nggn,nnnl,lggn,nlnn,lgnn,ngnn,gnng,nnnl,nlnn,ngnl,glll,ngnn,nnnl,ngnn,nlnn,glll,nlnn,lgnn,nnnl,nnnn,lngn,nnnn,nnnn,nnnn,nnln,nnnl,nlln,gnng,nnll,gnnn,nnnl,nnnn,gnnn,nnnn,gnnn,ngnn,nnnn,lggn,nnnn,nnnl,nnlg,nngn,nngl,nlnn,gnnn,nnnl,ngnn,nnlg,nngn,nnnl,lgnn,gnnl,nngl,nnnn,nlnn,nnnn,nnnn,nnnl,nlnn,ngln,gnnl,nnnn,nggg,nnll,lgln,nnnl,nnnn,nggg,nnnl,lgln,nlll,glnn,gnnl,ggnl
9,nnng,nlgl,nngn,nnnl,nngn,nlln,nggn,nnlg,ngnn,ngnn,nnnl,nlnn,ngnn,nnll,nnnl,nnnn,lgnl,glll,lnnn,nlnn,nnnl,lnng,gnng,nnnn,ngnn,nnln,nnnl,ngnn,nnll,nnnn,lngn,glll,nnnl,nlnn,gnng,ngnn,gnnn,nnnn,nnnl,lgnn,ngnn,nnnl,nnnn,nlnn,lggn,gnnn,nnnn,lgnn,nnln,nnnl,nnnn,nnnl,ngnn,ngnn,nnnn,nngn,nlnn,nnnl,nnnn,gnnl,nnlg,nnnn,ngnn,nnnn,nggg,lgnn,ngln,nlll,nnnl,ggnl,gnnl,lgln,nnnl,glnn,ggnl,ggnn,nnng,nggg,nnnl,nnll,nlll
